Reference Number,Grid Ref: Easting,Grid Ref: Northing,Number of Vehicles,Expr1,Accident Date,Day,Time (24hr),1st Road Class,Road Surface,Lighting Conditions,Weather Conditions,Casualty Class,Casualty Severity,Sex of Casualty,Age of Casualty,Type of Vehicle
3A82055,429798,433928,2,Leeds 2016,08/10/2016,Saturday,2339,Unclassified,Dry,Darkness street lights present and lit,Fine without high winds,Driver,Slight,Male,31,Car
3A82055,429798,433928,2,Leeds 2016,08/10/2016,Saturday,2339,Unclassified,Dry,Darkness street lights present and lit,Fine without high winds,Passenger,Slight,Female,24,Car
3A90433,443587,434483,1,Leeds 2016,09/10/2016,Sunday,755,A(M),Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Male,75,Car
3A91611,426190,437490,2,Leeds 2016,09/10/2016,Sunday,2031,Unclassified,Dry,Darkness street lights present and lit,Fine without high winds,Passenger,Slight,Male,32,Car
3AA0473,424081,434519,2,Leeds 2016,10/10/2016,Monday,1103,Unclassified,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Female,26,Car
3AA0473,424081,434519,2,Leeds 2016,10/10/2016,Monday,1103,Unclassified,Dry,Daylight street lights present,Fine without high winds,Passenger,Slight,Female,24,Car
3AA0796,427835,430566,2,Leeds 2016,10/10/2016,Monday,1406,A,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Male,53,Motorcycle over 125cc and up to 500cc
3AA1026,425024,435604,1,Leeds 2016,10/10/2016,Monday,1600,Unclassified,Dry,Daylight street lights present,Other,Pedestrian,Slight,Male,13,Car
3AA1109,433560,435930,2,Leeds 2016,10/10/2016,Monday,1650,Unclassified,Wet or Damp,Daylight street lights present,Raining without high winds,Driver,Slight,Female,35,Car
3AA1173,429241,433849,2,Leeds 2016,10/10/2016,Monday,1645,Unclassified,Dry,Daylight street lights present,Unknown,Driver,Slight,Male,27,Pedal cycle
3AA1241,430018,434178,2,Leeds 2016,10/10/2016,Monday,1745,A,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Male,27,Pedal cycle
3AA1290,427009,440083,2,Leeds 2016,10/10/2016,Monday,1820,A,Dry,Darkness street lights present and lit,Fine without high winds,Driver,Slight,Female,52,Car
3AA1344,428510,433070,2,Leeds 2016,10/10/2016,Monday,1845,Unclassified,Wet or Damp,Darkness street lights present and lit,Fine without high winds,Driver,Slight,Male,41,Motorcycle over 500cc
3AA1428,433168,435237,2,Leeds 2016,10/10/2016,Monday,1923,Unclassified,Wet or Damp,Darkness street lights present and lit,Fine without high winds,Driver,Slight,Male,43,Pedal cycle
3AA1713,426811,429065,2,Leeds 2016,10/10/2016,Monday,1730,A,Wet or Damp,Daylight street lights present,Fine without high winds,Driver,Slight,Male,43,Motorcycle over 50cc and up to 125cc
3AA1830,426136,428967,1,Leeds 2016,20/10/2016,Thursday,2218,Unclassified,Dry,Darkness no street lighting,Unknown,Pedestrian,Slight,Male,19,Car
3AB0314,424784,437960,2,Leeds 2016,11/10/2016,Tuesday,918,Unclassified,Wet or Damp,Daylight street lights present,Raining without high winds,Driver,Slight,Female,58,Car
3AB0467,431826,435623,2,Leeds 2016,11/10/2016,Tuesday,1055,A,Dry,Daylight street lights present,Unknown,Driver,Slight,Female,38,Car
3AB0707,426647,433496,2,Leeds 2016,11/10/2016,Tuesday,1315,Unclassified,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Female,26,Car
3AB0707,426647,433496,2,Leeds 2016,11/10/2016,Tuesday,1315,Unclassified,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Male,58,Car
3AB0726,422069,433180,1,Leeds 2016,11/10/2016,Tuesday,1245,B,Wet or Damp,Daylight street lights present,Raining without high winds,Pedestrian,Slight,Female,27,Car
3AB1043,426991,427914,3,Leeds 2016,11/10/2016,Tuesday,1605,Unclassified,Wet or Damp,Daylight street lights present,Raining without high winds,Driver,Slight,Male,55,Car
3AB1304,430115,434221,2,Leeds 2016,11/10/2016,Tuesday,1800,A,Dry,Daylight street lights present,Fine without high winds,Driver,Slight,Male,50,Goods vehicle 3.5 tonnes mgw and under
3AB1405,423374,437432,2,Leeds 2016,11/10/2016,Tuesday,1705,A,Wet or Damp,Daylight street lights present,Raining without high winds,Driver,Slight,Male,32,Pedal cycle
3AC1035,431457,434590,2,Leeds 2016,12/10/2016,Wednesday,1610,Unclassified,Dry,Daylight street lights present,Fine without high winds,Pedestrian,Serious,Female,76,Car
3AD0174,426936,443904,1,Leeds 2016,13/10/2016,Thursday,530,Unclassified,Wet or Damp,Darkness no street lighting,Raining without high winds,Driver,Slight,Male,25,Car
3AD0263,423481,437594,2,Leeds 2016,13/10/2016,Thursday,833,Unclassified,Wet or Damp,Daylight street lights present,Fine without high winds,Driver,Slight,Female,49,Car
3AD0306,427469,433688,2,Leeds 2016,13/10/2016,Thursday,800,Unclassified,Wet or Damp,Daylight street lights present,Raining without high winds,Driver,Slight,Male,26,Car
3AD0479,432185,431000,2,Leeds 2016,13/10/2016,Thursday,1114,B,Dry,Daylight street lights present,Unknown,Driver,Slight,Female,30,Car
3AD0563,430033,434159,2,Leeds 2016,13/10/2016,Thursday,1056,Unclassified,Wet or Damp,Daylight street lights present,Raining without high winds,Driver,Slight,Female,48,Car
3AD0701,424076,434514,1,Leeds 2016,13/10/2016,Thursday,1333,Unclassified,Dry,Daylight street lights present,Unknown,Driver,Slight,Female,29,Motorcycle over 50cc and up to 125cc
3AD0848,422889,437518,4,Leeds 2016,13/10/2016,Thursday,1450,Unclassified,Wet or Damp,Daylight street lights present,Raining without high winds,Driver,Slight,Female,39,Car
3AD1015,429137,435242,2,Leeds 2016,13/10/2016,Thursday,1605,A,Wet or Damp,Daylight street lights present,Raining without high winds,Driver,Slight,Female,23,Car
3AD1015,429137,435242,2,Leeds 2016,13/10/2016,Thursday,1605,A,Wet or Damp,Daylight street lights present,Raining without high winds,Passenger,Slight,Female,19,Car
3AD1157,430850,435449,2,Leeds 2016,13/10/2016,Thursday,1717,Unclassified,Wet or Damp,Daylight street lights present,Fine without high winds,Driver,Serious,Female,21,Car
3AD1157,430850,435449,2,Leeds 2016,13/10/2016,Thursday,1717,Unclassified,Wet or Damp,Daylight street lights present,Fine without high winds,Passenger,Slight,Female,20,Car
3AD1157,430850,435449,2,Leeds 2016,13/10/2016,Thursday,1717,Unclassified,Wet or Damp,Daylight street lights present,Fine without high winds,Driver,Slight,Female,27,Car
